Unique.ID,num_photos,sensitivity,Transect distance,Run distance,direction,start_time,Duration,Decection,velocity,name,value
WP-7,0,3,15,20,2,2022-02-09T18:45:36Z,9,1,2,d.2,2022-02-09T18:45:42Z
WP-7,0,3,15,20,2,2022-02-09T18:45:36Z,9,1,2,d.3,2022-02-09T18:45:43Z
WP-7,0,3,15,20,2,2022-02-09T18:45:36Z,9,1,2,d.4,2022-02-09T18:45:44Z
WP-7,0,3,15,20,2,2022-02-09T18:45:36Z,9,1,2,d.5,2022-02-09T18:45:45Z
WP-7,0,3,20,20,1,2022-02-09T18:46:18Z,9.6,1,2,d.1,2022-02-09T18:46:21Z
WP-7,0,3,20,20,1,2022-02-09T18:46:18Z,9.6,1,2,d.2,2022-02-09T18:46:22Z
WP-7,0,3,20,20,1,2022-02-09T18:46:18Z,9.6,1,2,d.3,2022-02-09T18:46:23Z
WP-7,0,3,20,20,1,2022-02-09T18:46:18Z,9.6,1,2,d.4,2022-02-09T18:46:25Z
WP-7,0,3,20,20,1,2022-02-09T18:46:18Z,9.6,1,2,d.5,2022-02-09T18:46:26Z
WP-7,0,3,20,20,2,2022-02-09T18:48:44Z,9.7,1,2,d.1,2022-02-09T18:48:48Z
WP-7,0,3,20,20,2,2022-02-09T18:48:44Z,9.7,1,2,d.2,2022-02-09T18:48:49Z
WP-7,0,3,20,20,2,2022-02-09T18:48:44Z,9.7,1,2,d.3,2022-02-09T18:48:50Z
WP-7,0,3,20,20,2,2022-02-09T18:48:44Z,9.7,1,2,d.4,2022-02-09T18:48:51Z
WP-7,0,3,20,20,2,2022-02-09T18:48:44Z,9.7,1,2,d.5,2022-02-09T18:48:52Z
WP-7,0,3,20,20,2,2022-02-09T18:48:44Z,9.7,1,2,d.6,2022-02-09T18:48:53Z
WP-7,0,3,20,20,1,2022-02-09T18:47:08Z,9.3,1,2,d.1,2022-02-09T18:47:12Z
WP-7,0,3,20,20,1,2022-02-09T18:47:08Z,9.3,1,2,d.2,2022-02-09T18:47:13Z
WP-7,0,3,20,20,1,2022-02-09T18:47:08Z,9.3,1,2,d.3,2022-02-09T18:47:14Z
WP-7,0,3,20,20,1,2022-02-09T18:47:08Z,9.3,1,2,d.4,2022-02-09T18:47:15Z
WP-7,0,3,20,20,1,2022-02-09T18:47:08Z,9.3,1,2,d.5,2022-02-09T18:47:16Z
WP-7,0,3,20,20,2,2022-02-09T18:47:31Z,9.5,1,2,d.1,2022-02-09T18:47:34Z
WP-7,0,3,20,20,2,2022-02-09T18:47:31Z,9.5,1,2,d.2,2022-02-09T18:47:36Z
WP-7,0,3,20,20,2,2022-02-09T18:47:31Z,9.5,1,2,d.3,2022-02-09T18:47:37Z
WP-7,0,3,20,20,2,2022-02-09T18:47:31Z,9.5,1,2,d.4,2022-02-09T18:47:38Z
WP-7,0,3,20,20,2,2022-02-09T18:47:31Z,9.5,1,2,d.5,2022-02-09T18:47:39Z
WP-7,0,3,20,20,2,2022-02-09T18:47:31Z,9.5,1,2,d.6,2022-02-09T18:47:40Z
WP-7,0,3,20,20,1,2022-02-09T18:47:55Z,9.1,1,2,d.1,2022-02-09T18:47:59Z
WP-7,0,3,20,20,1,2022-02-09T18:47:55Z,9.1,1,2,d.2,2022-02-09T18:48:00Z
WP-7,0,3,20,20,1,2022-02-09T18:47:55Z,9.1,1,2,d.3,2022-02-09T18:48:01Z
WP-7,0,3,20,20,1,2022-02-09T18:47:55Z,9.1,1,2,d.4,2022-02-09T18:48:02Z
WP-7,0,3,20,20,1,2022-02-09T18:47:55Z,9.1,1,2,d.5,2022-02-09T18:48:03Z
WP-7,0,3,20,20,1,2022-02-09T18:47:55Z,9.1,1,2,d.6,2022-02-09T18:48:04Z
WP-7,0,3,20,20,2,2022-02-09T18:48:20Z,9.2,1,2,d.1,2022-02-09T18:48:23Z
WP-7,0,3,20,20,2,2022-02-09T18:48:20Z,9.2,1,2,d.2,2022-02-09T18:48:24Z
WP-7,0,3,20,20,2,2022-02-09T18:48:20Z,9.2,1,2,d.3,2022-02-09T18:48:25Z
WP-7,0,3,20,20,2,2022-02-09T18:48:20Z,9.2,1,2,d.4,2022-02-09T18:48:26Z
WP-7,0,3,20,20,2,2022-02-09T18:48:20Z,9.2,1,2,d.5,2022-02-09T18:48:27Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.1,2022-02-09T16:47:18Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.2,2022-02-09T16:47:19Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.3,2022-02-09T16:47:20Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.4,2022-02-09T16:47:21Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.5,2022-02-09T16:47:22Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.6,2022-02-09T16:47:23Z
WP-7,0,3,30,20,1,2022-02-09T16:47:15Z,9.2,1,2,d.7,2022-02-09T16:47:24Z
WP-7,0,3,30,20,2,2022-02-09T16:47:45Z,10.4,1,2,d.1,2022-02-09T16:47:49Z
WP-7,0,3,30,20,2,2022-02-09T16:47:45Z,10.4,1,2,d.2,2022-02-09T16:47:50Z
WP-7,0,3,30,20,2,2022-02-09T16:47:45Z,10.4,1,2,d.3,2022-02-09T16:47:51Z
WP-7,0,3,30,20,2,2022-02-09T16:47:45Z,10.4,1,2,d.4,2022-02-09T16:47:52Z
WP-7,0,3,30,20,2,2022-02-09T16:47:45Z,10.4,1,2,d.5,2022-02-09T16:47:53Z
WP-7,0,3,30,20,2,2022-02-09T16:47:45Z,10.4,1,2,d.6,2022-02-09T16:47:54Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.1,2022-02-09T16:48:13Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.2,2022-02-09T16:48:14Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.3,2022-02-09T16:48:15Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.4,2022-02-09T16:48:16Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.5,2022-02-09T16:48:17Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.6,2022-02-09T16:48:18Z
WP-7,0,3,30,20,1,2022-02-09T16:48:09Z,9.4,1,2,d.7,2022-02-09T16:48:19Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.1,2022-02-09T16:48:37Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.2,2022-02-09T16:48:38Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.3,2022-02-09T16:48:39Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.4,2022-02-09T16:48:40Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.5,2022-02-09T16:48:41Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.6,2022-02-09T16:48:42Z
WP-7,0,3,30,20,2,2022-02-09T16:48:35Z,9.5,1,2,d.7,2022-02-09T16:48:43Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.1,2022-02-09T16:48:58Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.2,2022-02-09T16:48:59Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.3,2022-02-09T16:49:00Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.4,2022-02-09T16:49:01Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.5,2022-02-09T16:49:02Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.6,2022-02-09T16:49:03Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.7,2022-02-09T16:49:04Z
WP-7,0,3,30,20,1,2022-02-09T16:48:55Z,9.9,1,2,d.8,2022-02-09T16:49:05Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.1,2022-02-09T16:49:17Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.2,2022-02-09T16:49:18Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.3,2022-02-09T16:49:19Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.4,2022-02-09T16:49:20Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.5,2022-02-09T16:49:21Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.6,2022-02-09T16:49:22Z
WP-7,0,3,30,20,2,2022-02-09T16:49:15Z,10,1,2,d.7,2022-02-09T16:49:23Z
WP-9,0,3,3,20,1,2022-02-09T17:41:47Z,10.1,1,2,d.1,2022-02-09T17:41:51Z
WP-9,0,3,3,20,1,2022-02-09T17:41:47Z,10.1,1,2,d.2,2022-02-09T17:41:52Z
WP-9,0,3,3,20,2,2022-02-09T17:42:26Z,9.8,1,2,d.1,2022-02-09T17:42:31Z
WP-9,0,3,3,20,1,2022-02-09T17:42:51Z,10,1,2,d.1,2022-02-09T17:42:56Z
WP-9,0,3,3,20,1,2022-02-09T17:42:51Z,10,1,2,d.2,2022-02-09T17:42:57Z
WP-9,0,3,3,20,2,2022-02-09T17:43:16Z,10,1,2,d.1,2022-02-09T17:43:20Z
WP-9,0,3,3,20,2,2022-02-09T17:43:16Z,10,1,2,d.2,2022-02-09T17:43:21Z
WP-9,0,3,3,20,1,2022-02-09T17:43:40Z,10.3,1,2,d.1,2022-02-09T17:43:44Z
WP-9,0,3,3,20,1,2022-02-09T17:43:40Z,10.3,1,2,d.2,2022-02-09T17:43:45Z
WP-9,0,3,3,20,2,2022-02-09T17:44:04Z,10.2,1,2,d.1,2022-02-09T17:44:09Z
WP-9,0,3,3,20,2,2022-02-09T17:44:04Z,10.2,1,2,d.2,2022-02-09T17:44:10Z
WP-9,0,3,5,20,1,2022-02-09T17:44:42Z,10.3,1,2,d.1,2022-02-09T17:44:46Z
WP-9,0,3,5,20,1,2022-02-09T17:44:42Z,10.3,1,2,d.2,2022-02-09T17:44:47Z
WP-9,0,3,5,20,1,2022-02-09T17:44:42Z,10.3,1,2,d.3,2022-02-09T17:44:48Z
WP-9,0,3,5,20,2,2022-02-09T17:45:06Z,8.9,1,2,d.1,2022-02-09T17:45:11Z
WP-9,0,3,5,20,2,2022-02-09T17:45:06Z,8.9,1,2,d.2,2022-02-09T17:45:12Z
WP-9,0,3,5,20,1,2022-02-09T17:45:31Z,9.1,1,2,d.1,2022-02-09T17:45:35Z
WP-9,0,3,5,20,1,2022-02-09T17:45:31Z,9.1,1,2,d.2,2022-02-09T17:45:36Z
WP-9,0,3,5,20,1,2022-02-09T17:45:31Z,9.1,1,2,d.3,2022-02-09T17:45:37Z
WP-9,0,3,5,20,2,2022-02-09T17:45:54Z,10.1,1,2,d.1,2022-02-09T17:45:59Z
WP-9,0,3,5,20,2,2022-02-09T17:45:54Z,10.1,1,2,d.2,2022-02-09T17:46:00Z
WP-9,0,3,5,20,1,2022-02-09T17:46:20Z,10.1,1,2,d.1,2022-02-09T17:46:24Z
WP-9,0,3,5,20,1,2022-02-09T17:46:20Z,10.1,1,2,d.2,2022-02-09T17:46:25Z
WP-9,0,3,5,20,2,2022-02-09T17:46:48Z,9.7,1,2,d.1,2022-02-09T17:46:52Z
WP-9,0,3,5,20,2,2022-02-09T17:46:48Z,9.7,1,2,d.2,2022-02-09T17:46:53Z
WP-9,0,3,10,20,1,2022-02-09T17:47:22Z,10.2,1,2,d.1,2022-02-09T17:47:26Z
WP-9,0,3,10,20,1,2022-02-09T17:47:22Z,10.2,1,2,d.2,2022-02-09T17:47:27Z
WP-9,0,3,10,20,1,2022-02-09T17:47:22Z,10.2,1,2,d.3,2022-02-09T17:47:28Z
WP-9,0,3,10,20,2,2022-02-09T17:47:47Z,9.4,1,2,d.1,2022-02-09T17:47:51Z
WP-9,0,3,10,20,2,2022-02-09T17:47:47Z,9.4,1,2,d.2,2022-02-09T17:47:52Z
WP-9,0,3,10,20,2,2022-02-09T17:47:47Z,9.4,1,2,d.3,2022-02-09T17:47:53Z
WP-9,0,3,10,20,1,2022-02-09T17:48:15Z,10,1,2,d.1,2022-02-09T17:48:18Z
WP-9,0,3,10,20,1,2022-02-09T17:48:15Z,10,1,2,d.2,2022-02-09T17:48:19Z
WP-9,0,3,10,20,1,2022-02-09T17:48:15Z,10,1,2,d.3,2022-02-09T17:48:20Z
WP-9,0,3,10,20,2,2022-02-09T17:48:41Z,10,1,2,d.1,2022-02-09T17:48:44Z
WP-9,0,3,10,20,2,2022-02-09T17:48:41Z,10,1,2,d.2,2022-02-09T17:48:45Z
