unique_id,detection_datetime,seconds_in,run_dist,x_distance,velocity,grid_dist,detection,brand,cover,canopy,shrub,temp
RM-14-9,2022-03-25T13:33:08Z,8,20,15,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:33:10Z,10,20,15,2,7,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:34:05Z,5,20,15,2,-1,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:34:09Z,9,20,15,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:35:07Z,7,20,15,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:35:10Z,10,20,15,2,8,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:36:05Z,5,20,15,2,0,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:36:08Z,8,20,15,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:37:09Z,9,20,15,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:38:05Z,5,20,15,2,0,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:38:08Z,8,20,15,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:39:09Z,9,20,20,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:40:06Z,6,20,20,2,1,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:41:08Z,8,20,20,2,5,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:42:07Z,7,20,20,2,3,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:43:09Z,9,20,20,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:44:06Z,6,20,20,2,2,1,reconyx,75,93.5,31,0
RM-14-7,2022-03-25T15:26:07Z,7,20,3,2,6,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:27:07Z,7,20,3,2,4,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:28:05Z,5,20,3,2,0,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:29:07Z,7,20,3,2,6,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:31:05Z,5,20,3,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:32:06Z,6,20,5,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:32:08Z,8,20,5,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:33:06Z,6,20,5,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:34:07Z,7,20,5,2,4,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:35:05Z,5,20,5,2,0,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:35:06Z,6,20,5,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:36:05Z,5,20,5,2,0,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:37:06Z,6,20,5,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:38:04Z,4,20,10,2,-3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:38:06Z,6,20,10,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:39:06Z,6,20,10,2,3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:39:08Z,8,20,10,2,8,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:40:04Z,4,20,10,2,-2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:40:06Z,6,20,10,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:41:07Z,7,20,10,2,6,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:41:09Z,9,20,10,2,10,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:42:04Z,4,20,10,2,-3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:42:06Z,6,20,10,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:43:05Z,5,20,10,2,0,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:43:09Z,9,20,10,2,8,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:44:04Z,4,20,12,2,-3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:44:06Z,6,20,12,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:45:06Z,6,20,12,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:45:08Z,8,20,12,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:46:02Z,2,20,12,2,-6,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:46:04Z,4,20,12,2,-3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:46:06Z,6,20,12,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:47:06Z,6,20,12,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:47:08Z,8,20,12,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:48:05Z,5,20,12,2,-1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:48:07Z,7,20,12,2,3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:49:06Z,6,20,12,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:49:08Z,8,20,12,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:49:10Z,10,20,12,2,8,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:50:05Z,5,20,15,2,-2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:50:07Z,7,20,15,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:50:09Z,9,20,15,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:51:06Z,6,20,15,2,1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:51:08Z,8,20,15,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:52:04Z,4,20,15,2,-4,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:52:06Z,6,20,15,2,-1,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:52:08Z,8,20,15,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:52:10Z,10,20,15,2,5,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:53:04Z,4,20,15,2,-2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:53:08Z,8,20,15,2,6,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:54:04Z,4,20,15,2,-3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:54:06Z,6,20,15,2,0,1,cudde,73.61,93,18,0
