unique_id.x,brand,Transect distance,seconds,start_dec,DateTimeOriginal,name,value
PP-9,Reconyx,15,10,1,2022-08-05T01:02:03Z,two,2022-08-05T01:02:09Z
PP-9,Reconyx,15,10,1,2022-08-05T01:02:03Z,three,2022-08-05T01:02:11Z
PP-9,Reconyx,15,11,1,2022-08-05T01:02:30Z,two,2022-08-05T01:02:33Z
PP-9,Reconyx,15,11,1,2022-08-05T01:02:30Z,three,2022-08-05T01:02:36Z
PP-9,Reconyx,15,10,1,2022-08-05T01:03:00Z,two,2022-08-05T01:03:03Z
PP-9,Reconyx,15,10,1,2022-08-05T01:03:00Z,three,2022-08-05T01:03:05Z
PP-9,Reconyx,15,9,1,2022-08-05T01:03:26Z,two,2022-08-05T01:03:30Z
PP-9,Reconyx,15,9,1,2022-08-05T01:03:26Z,three,2022-08-05T01:03:32Z
PP-9,Reconyx,15,10,1,2022-08-05T01:03:50Z,two,2022-08-05T01:03:53Z
PP-9,Reconyx,15,10,1,2022-08-05T01:03:50Z,three,2022-08-05T01:03:55Z
