Unique.ID,Transect distance,Run distance,direction,DateTimeStart,Duration,Decection,s1,s2,s3,s4,velocity,distance1,distance2,distance3,distance4,name,value
RM-30-9,3,20,2,2022-10-26T12:45:01Z,11,1,9,NA,NA,NA,1.8181818181818181,3.6363636363636367,NA,NA,NA,D1,2022-10-26T12:45:10Z
RM-30-9,3,20,1,2022-10-26T12:45:22Z,10,1,7,NA,NA,NA,2,14,NA,NA,NA,D1,2022-10-26T12:45:29Z
RM-30-9,3,20,2,2022-10-26T12:45:41Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:45:49Z
RM-30-9,3,20,1,2022-10-26T12:46:01Z,10,1,8,NA,NA,NA,2,16,NA,NA,NA,D1,2022-10-26T12:46:09Z
RM-30-9,3,20,2,2022-10-26T12:46:21Z,11,1,9,NA,NA,NA,1.8181818181818181,3.6363636363636367,NA,NA,NA,D1,2022-10-26T12:46:30Z
RM-30-9,5,20,1,2022-10-26T12:46:44Z,10,1,7,NA,NA,NA,2,14,NA,NA,NA,D1,2022-10-26T12:46:51Z
RM-30-9,5,20,2,2022-10-26T12:47:35Z,10,1,6,NA,NA,NA,2,8,NA,NA,NA,D1,2022-10-26T12:47:41Z
RM-30-9,5,20,1,2022-10-26T12:47:56Z,11,1,8,NA,NA,NA,1.8181818181818181,14.545454545454545,NA,NA,NA,D1,2022-10-26T12:48:04Z
RM-30-9,5,20,2,2022-10-26T12:48:16Z,10,1,8,NA,NA,NA,2,4,NA,NA,NA,D1,2022-10-26T12:48:24Z
RM-30-9,5,20,1,2022-10-26T12:48:37Z,11,1,8,NA,NA,NA,1.8181818181818181,14.545454545454545,NA,NA,NA,D1,2022-10-26T12:48:45Z
RM-30-9,5,20,2,2022-10-26T12:48:57Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:49:05Z
RM-30-9,10,20,1,2022-10-26T12:49:47Z,11,1,9,NA,NA,NA,1.8181818181818181,16.363636363636363,NA,NA,NA,D1,2022-10-26T12:49:56Z
RM-30-9,10,20,2,2022-10-26T12:50:09Z,12,1,7,NA,NA,NA,1.6666666666666667,8.333333333333332,NA,NA,NA,D1,2022-10-26T12:50:16Z
RM-30-9,10,20,1,2022-10-26T12:50:35Z,12,1,8,NA,NA,NA,1.6666666666666667,13.333333333333334,NA,NA,NA,D1,2022-10-26T12:50:43Z
RM-30-9,10,20,2,2022-10-26T12:50:56Z,11,1,7,NA,NA,NA,1.8181818181818181,7.272727272727273,NA,NA,NA,D1,2022-10-26T12:51:03Z
RM-30-9,10,20,1,2022-10-26T12:51:18Z,11,1,9,NA,NA,NA,1.8181818181818181,16.363636363636363,NA,NA,NA,D1,2022-10-26T12:51:27Z
RM-30-9,10,20,2,2022-10-26T12:51:39Z,10,1,7,NA,NA,NA,2,6,NA,NA,NA,D1,2022-10-26T12:51:46Z
RM-30-9,12,20,1,2022-10-26T12:52:11Z,11,1,8,NA,NA,NA,1.8181818181818181,14.545454545454545,NA,NA,NA,D1,2022-10-26T12:52:19Z
RM-30-9,12,20,2,2022-10-26T12:52:31Z,11,1,9,NA,NA,NA,1.8181818181818181,3.6363636363636367,NA,NA,NA,D1,2022-10-26T12:52:40Z
RM-30-9,12,20,1,2022-10-26T12:52:52Z,12,1,11,NA,NA,NA,1.6666666666666667,18.333333333333336,NA,NA,NA,D1,2022-10-26T12:53:03Z
RM-30-9,12,20,2,2022-10-26T12:53:25Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:53:33Z
RM-30-9,12,20,1,2022-10-26T12:53:39Z,11,1,10,NA,NA,NA,1.8181818181818181,18.18181818181818,NA,NA,NA,D1,2022-10-26T12:53:49Z
RM-30-9,12,20,2,2022-10-26T12:54:01Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:54:09Z
RM-30-9,15,20,1,2022-10-26T12:54:36Z,11,1,9,NA,NA,NA,1.8181818181818181,16.363636363636363,NA,NA,NA,D1,2022-10-26T12:54:45Z
RM-30-9,15,20,2,2022-10-26T12:54:55Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:55:03Z
RM-30-9,15,20,1,2022-10-26T12:55:17Z,11,1,10,NA,NA,NA,1.8181818181818181,18.18181818181818,NA,NA,NA,D1,2022-10-26T12:55:27Z
RM-30-9,15,20,2,2022-10-26T12:55:37Z,11,1,8,NA,NA,NA,1.8181818181818181,5.454545454545455,NA,NA,NA,D1,2022-10-26T12:55:45Z
RM-30-9,15,20,1,2022-10-26T12:56:04Z,11,1,9,NA,NA,NA,1.8181818181818181,16.363636363636363,NA,NA,NA,D1,2022-10-26T12:56:13Z
