unique_id,num_photos,sensitivity,detection.x,detection_time,sec_in,x_distance,duration,velocity.y,y_dist,date
WP-9,2,4,1,2022-02-09T21:18:44Z,3,10,10,2,6,2022-02-09
WP-9,2,4,1,2022-02-09T21:18:45Z,4,10,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:18:46Z,5,10,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:19:19Z,3,10,10,2,6,2022-02-09
WP-9,2,4,1,2022-02-09T21:19:20Z,4,10,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:19:21Z,5,10,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:19:45Z,5,10,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:19:46Z,6,10,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:08Z,3,12,9,2.2222222222222223,6.666666666666667,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:09Z,4,12,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:10Z,5,12,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:11Z,6,12,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:34Z,3,12,11,1.8181818181818181,5.454545454545454,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:35Z,4,12,11,1.8181818181818181,7.2727272727272725,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:36Z,5,12,11,1.8181818181818181,9.09090909090909,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:37Z,6,12,11,1.8181818181818181,10.909090909090908,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:38Z,7,12,11,1.8181818181818181,12.727272727272727,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:59Z,3,12,12,1.6666666666666667,5,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:00Z,4,12,12,1.6666666666666667,6.666666666666667,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:01Z,5,12,12,1.6666666666666667,8.333333333333334,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:02Z,6,12,12,1.6666666666666667,10,2022-02-09
